                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0053,                0.90813,                 1.4117,                0.96272,                0.93824,                0.98573,                0.81476,                 0.7005,                0.66581,                 1.1349,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0137,                0.88721,                  1.399,                0.94021,                0.89426,                0.97269,                0.79993,                0.70709,                0.79298,                 1.1641,             0.00073704,             0.00073704,             0.00073704
                     37,                 0.9779,                0.89148,                 1.3924,                0.96111,                0.94059,                0.98318,                0.80014,                0.74296,                0.67681,                 1.1551,             0.00072604,             0.00072604,             0.00072604
                     38,                0.94757,                0.84424,                 1.3608,                0.95119,                0.94518,                0.98337,                0.80982,                0.69986,                0.67544,                 1.1399,             0.00071504,             0.00071504,             0.00071504
                     39,                0.95691,                 0.8336,                 1.3639,                0.94091,                0.92578,                0.97943,                0.81801,                0.65907,                0.67278,                 1.1097,             0.00070404,             0.00070404,             0.00070404
                     40,                0.95536,                0.83788,                 1.3621,                0.96572,                0.95002,                0.98482,                0.81133,                0.71815,                0.63585,                 1.1289,             0.00069304,             0.00069304,             0.00069304
                     41,                0.93837,                0.80581,                  1.349,                0.93747,                0.92687,                0.98031,                0.81197,                0.69745,                0.67601,                 1.1438,             0.00068204,             0.00068204,             0.00068204
                     42,                0.92522,                0.80456,                 1.3283,                0.94031,                0.92431,                0.97918,                0.79387,                0.74657,                0.70979,                 1.1393,             0.00067104,             0.00067104,             0.00067104
                     43,                 0.9028,                0.81095,                 1.3314,                0.97758,                0.96223,                0.99065,                0.83425,                0.65461,                 0.5986,                  1.087,             0.00066005,             0.00066005,             0.00066005
                     44,                0.93715,                0.81734,                 1.3409,                0.96549,                0.95186,                0.98844,                0.83718,                0.64106,                0.58991,                 1.0879,             0.00064905,             0.00064905,             0.00064905
                     45,                 0.8989,                0.77527,                 1.3164,                0.92084,                0.93434,                0.97985,                0.82054,                 0.6651,                0.67111,                 1.1187,             0.00063805,             0.00063805,             0.00063805
                     46,                0.91597,                0.78042,                 1.3214,                0.89754,                0.88999,                0.95266,                0.75517,                0.75742,                0.86155,                 1.1746,             0.00062705,             0.00062705,             0.00062705
                     47,                0.88727,                0.74111,                 1.2913,                0.98167,                0.96824,                0.99155,                0.84767,                0.61785,                0.55712,                 1.0551,             0.00061605,             0.00061605,             0.00061605
                     48,                0.89533,                0.74319,                 1.2995,                0.94689,                  0.913,                 0.9797,                0.81709,                0.67572,                0.63364,                 1.1122,             0.00060505,             0.00060505,             0.00060505
                     49,                0.87744,                0.73884,                 1.2882,                0.92814,                0.93989,                  0.985,                0.80857,                0.71191,                 0.6968,                 1.1224,             0.00059405,             0.00059405,             0.00059405
                     50,                0.85938,                0.72618,                 1.2832,                0.97449,                0.95292,                0.98795,                0.85039,                0.60361,                0.54962,                 1.0461,             0.00058305,             0.00058305,             0.00058305
                     51,                0.89326,                0.75595,                 1.2955,                0.95363,                 0.9539,                0.99091,                0.83582,                0.64819,                0.57436,                 1.0678,             0.00057205,             0.00057205,             0.00057205
                     52,                 0.8782,                0.73226,                 1.3006,                 0.9639,                0.95157,                 0.9878,                0.82055,                0.66435,                0.56316,                 1.0759,             0.00056105,             0.00056105,             0.00056105
                     53,                0.89884,                0.72552,                  1.296,                0.94984,                0.92506,                0.98487,                0.84671,                0.60488,                 0.5851,                 1.0369,             0.00055006,             0.00055006,             0.00055006
                     54,                0.85201,                0.69602,                 1.2576,                0.98416,                0.97122,                0.99247,                0.85655,                0.59341,                0.50654,                 1.0473,             0.00053906,             0.00053906,             0.00053906
                     55,                0.87305,                0.74168,                 1.2913,                0.98671,                0.98174,                0.99389,                0.86232,                0.57269,                 0.4955,                 1.0369,             0.00052806,             0.00052806,             0.00052806
                     56,                0.83367,                0.68494,                 1.2499,                0.97692,                0.96584,                0.99197,                  0.845,                0.62059,                0.53577,                 1.0573,             0.00051706,             0.00051706,             0.00051706
                     57,                0.82199,                0.68908,                 1.2481,                0.98278,                0.95355,                0.99162,                0.86386,                0.57314,                0.52001,                  1.031,             0.00050606,             0.00050606,             0.00050606
                     58,                0.81694,                0.68725,                 1.2403,                0.97663,                0.96576,                0.99136,                0.86072,                0.57944,                0.52524,                 1.0316,             0.00049506,             0.00049506,             0.00049506
                     59,                0.83411,                 0.6957,                 1.2534,                0.93547,                0.91942,                0.97464,                0.83058,                0.61002,                0.60706,                  1.055,             0.00048406,             0.00048406,             0.00048406
                     60,                   0.82,                0.68571,                 1.2404,                0.97234,                0.97717,                0.99341,                0.86698,                0.57349,                0.49211,                 1.0189,             0.00047306,             0.00047306,             0.00047306
                     61,                0.80334,                0.66296,                 1.2292,                0.93422,                0.92617,                0.98552,                 0.8427,                0.60232,                0.58592,                 1.0462,             0.00046206,             0.00046206,             0.00046206
                     62,                0.81693,                0.67079,                 1.2401,                0.98491,                0.96673,                0.99263,                0.85874,                0.58725,                 0.4944,                 1.0309,             0.00045107,             0.00045107,             0.00045107
                     63,                0.81969,                0.66264,                 1.2371,                0.98074,                0.98131,                0.99362,                0.86161,                0.58948,                0.46442,                 1.0151,             0.00044007,             0.00044007,             0.00044007
                     64,                0.81672,                0.66141,                 1.2359,                 0.9917,                0.98559,                0.99421,                 0.8801,                0.53353,                0.44531,                 1.0095,             0.00042907,             0.00042907,             0.00042907
                     65,                0.79625,                0.64062,                 1.2214,                0.98419,                0.97483,                0.99362,                0.87073,                0.55541,                0.46614,                  1.005,             0.00041807,             0.00041807,             0.00041807
                     66,                0.77146,                0.62569,                 1.2131,                0.98657,                0.98405,                0.99362,                0.87329,                0.55271,                0.47074,                 1.0112,             0.00040707,             0.00040707,             0.00040707
                     67,                0.78989,                0.63647,                 1.2172,                0.97514,                0.98575,                0.99358,                0.85739,                0.58825,                0.48775,                 1.0371,             0.00039607,             0.00039607,             0.00039607
                     68,                0.79931,                0.64765,                  1.223,                0.97294,                0.97035,                0.99361,                0.86166,                0.56925,                0.47974,                 1.0215,             0.00038507,             0.00038507,             0.00038507
                     69,                0.78367,                0.61944,                 1.1991,                0.98744,                0.97891,                 0.9936,                0.85766,                0.58506,                0.48048,                 1.0389,             0.00037407,             0.00037407,             0.00037407
                     70,                0.77598,                0.61848,                 1.2061,                0.98674,                0.98373,                 0.9945,                0.88338,                0.52651,                0.43531,                0.98883,             0.00036307,             0.00036307,             0.00036307
